City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
263,vila franca do campo,37.7167,-25.4333,64.89,99,25,5.97,PT,1706635939
264,broome,42.2506,-75.833,30.7,91,100,5.75,US,1706635940
265,oranjemund,-28.55,16.4333,66.63,89,39,10.87,NA,1706635941
266,kingston,17.997,-76.7936,85.15,58,20,8.05,JM,1706635935
267,ocean city,39.2776,-74.5746,42.03,64,70,3.0,US,1706635942
268,nadi,-17.8,177.4167,78.8,89,75,5.75,FJ,1706635943
269,odesskoye,54.2111,72.9651,-8.57,100,99,4.79,RU,1706635943
270,harper,4.375,-7.7169,83.48,75,10,10.2,LR,1706635944
271,coquimbo,-29.9533,-71.3436,65.93,82,75,9.22,CL,1706635945
272,ola,59.5833,151.2833,-14.4,86,69,7.76,RU,1706635945
273,mursko sredisce,46.5094,16.4411,32.95,42,22,4.92,HR,1706635946
274,kirensk,57.7853,108.1119,-36.04,100,42,1.99,RU,1706635947
275,mount isa,-20.7333,139.5,78.57,89,75,10.36,AU,1706635948
276,ortaca,36.8294,28.7708,44.4,65,75,3.44,TR,1706635948
277,hammerfest,70.6634,23.6821,37.85,93,75,31.07,NO,1706635949
278,lumphat,13.4878,106.9816,72.63,72,83,6.22,KH,1706635949
279,goonellabah,-28.8167,153.3167,69.82,99,98,2.44,AU,1706635950
280,usinsk,65.9939,57.5281,18.07,96,100,8.99,RU,1706635951
281,kenora,49.8167,-94.4337,31.17,93,100,8.05,CA,1706635951
282,gaalkacyo,6.7697,47.4308,75.83,66,94,19.66,SO,1706635952
283,pisco,-13.7,-76.2167,83.01,78,0,9.22,PE,1706635953
284,island harbour,50.724,-1.2758,47.32,79,100,3.04,GB,1706635953
285,aasiaat,68.7098,-52.8699,-27.33,99,84,8.9,GL,1706635954
286,port-gentil,-0.7193,8.7815,84.16,84,40,6.91,GA,1706635955
287,peace river,56.2501,-117.286,43.66,85,75,19.57,CA,1706635956
288,brak,27.5496,14.2714,53.33,39,6,11.18,LY,1706635956
289,lichinga,-13.3128,35.2406,62.49,76,65,3.0,MZ,1706635957
290,nar'yan-mar,67.6713,53.087,27.1,93,98,15.01,RU,1706635957
291,sandnessjoen,66.0217,12.6316,41.41,65,75,29.93,NO,1706635958
292,sona,45.4388,10.8255,44.94,93,68,2.3,IT,1706635958
293,santa marta,11.2408,-74.199,86.05,75,20,9.22,CO,1706635778
294,kapuskasing,49.4169,-82.4331,33.89,86,100,11.5,CA,1706635959
295,zalingei,12.9096,23.4741,74.84,15,0,4.7,SD,1706635960
296,dangriga,16.9692,-88.2321,75.47,54,38,7.9,BZ,1706635961
297,afaahiti,-17.75,-149.2833,78.67,79,96,2.35,PF,1706635961
298,mengcheng chengguanzhen,33.2661,116.566,44.71,91,100,5.12,CN,1706635962
299,nova olinda do norte,-3.8881,-59.0942,91.09,53,81,4.61,BR,1706635962
300,praia da vitoria,38.7333,-27.0667,65.75,77,40,10.69,PT,1706635834
301,glasgow,55.8652,-4.2576,44.31,88,62,8.05,GB,1706635384
302,lorengau,-2.0226,147.2712,81.57,82,90,9.31,PG,1706635964
303,kismayo,-0.3582,42.5454,80.65,84,83,14.34,SO,1706635964
304,mawlaik,23.6333,94.4167,58.17,57,83,1.7,MM,1706635965
305,kencong,-8.2833,113.3667,76.42,91,96,3.31,ID,1706635965
306,murzuq,25.9155,13.9184,52.77,38,0,10.27,LY,1706635966
307,dunedin,-45.8742,170.5036,56.8,86,29,7.0,NZ,1706635966
308,portland,45.5234,-122.6762,54.57,85,100,11.01,US,1706635808
309,kankanhalli,12.55,77.4167,70.75,46,74,5.66,IN,1706635967
310,lethem,3.3803,-59.7968,97.9,36,63,9.84,GY,1706635968
311,necochea,-38.5473,-58.7368,84.11,49,21,16.2,AR,1706635969
312,votkinsk,57.0486,53.9872,27.77,97,99,11.01,RU,1706635969
313,hays,30.0502,-98.0336,68.79,39,98,5.12,US,1706635970
314,cabo san lucas,22.8909,-109.9124,84.51,39,40,19.57,MX,1706635799
315,lillehammer,61.1146,10.4674,16.43,95,100,4.45,NO,1706635971
316,queenstown,-31.8976,26.8753,68.5,81,81,2.48,ZA,1706635775
317,lubango,-14.9172,13.4925,76.86,57,99,5.75,AO,1706635794
318,tralee,52.2704,-9.7026,46.65,71,75,3.44,IE,1706635972
319,luanda,-8.8368,13.2343,84.2,81,75,9.22,AO,1706635973
320,den burg,53.0542,4.7972,44.94,90,75,14.97,NL,1706635973
321,ust'-barguzin,53.45,108.9833,-23.78,97,66,4.03,RU,1706635974
322,vera cruz,-12.6333,-41.0333,89.17,35,16,5.79,BR,1706635974
323,gibara,21.1097,-76.1317,76.32,53,78,8.81,CU,1706635975
324,san salvador de jujuy,-24.1946,-65.2971,89.13,33,1,6.4,AR,1706635862
325,sao benedito do rio preto,-3.3336,-43.5283,92.39,46,48,1.32,BR,1706635976
326,guerrero negro,27.9769,-114.0611,70.25,39,1,4.52,MX,1706635976
327,timbuktu,16.7735,-3.0074,79.29,11,0,10.0,ML,1706635977
328,roma,43.2128,-75.4557,31.82,85,100,8.05,US,1706635977
329,kenzhe,43.5017,43.5572,20.19,93,100,2.24,RU,1706635978
330,fada,9.5667,8.3,82.09,20,54,4.18,NG,1706635978
331,nova sintra,14.8667,-24.7167,70.41,64,12,15.73,CV,1706635979
332,garachico,28.7781,-17.7646,66.31,73,0,3.44,ES,1706635979
333,xichang,27.8964,102.2634,41.45,61,5,2.95,CN,1706635980
334,acapulco de juarez,16.8634,-99.8901,84.02,54,75,6.91,MX,1706635980
335,milton,34.1322,-84.3007,53.89,61,13,2.44,US,1706635501
336,punta cana,18.5818,-68.4043,83.97,58,75,4.61,DO,1706635971
337,margate,51.3813,1.3862,46.9,87,100,4.0,GB,1706635401
338,palmer,42.1584,-72.3287,34.48,67,100,1.01,US,1706635982
339,tra vinh,9.9347,106.3453,74.75,87,58,8.14,VN,1706635983
340,san julian,21.0167,-102.1667,66.96,25,100,6.11,MX,1706635984
341,wanning,18.8003,110.3967,69.26,89,49,0.36,CN,1706635984
342,xiangcheng chengguanzhen,33.847,113.4778,39.47,75,1,1.88,CN,1706635985
343,acarau,-2.8856,-40.12,88.45,57,21,16.75,BR,1706635986
344,el bauga,18.262,33.9081,66.49,17,46,11.97,SD,1706635986
345,port moresby,-9.4431,147.1797,78.22,94,20,3.44,PG,1706635927
346,wotho,10.1657,166.0102,79.52,78,91,19.57,MH,1706635988
347,bosansko grahovo,44.1794,16.3639,32.99,60,2,3.85,BA,1706635989
348,paita,-5.0892,-81.1144,80.89,71,91,12.88,PE,1706635989
349,sweet home,44.3976,-122.7362,56.95,79,100,2.1,US,1706635990
350,chukhloma,58.7525,42.6825,27.09,88,7,8.01,RU,1706635990
351,santander,43.4647,-3.8044,56.46,93,20,8.05,ES,1706635722
352,agat village,13.3886,144.6585,79.36,77,40,16.11,GU,1706635992
353,villa gesell,-37.2639,-56.973,85.05,58,1,24.61,AR,1706635993
354,buala,-8.145,159.5921,77.04,95,100,15.23,SB,1706635993
355,san estanislao,10.3983,-75.1511,89.49,37,9,3.71,CO,1706635994
356,floro,61.5996,5.0328,35.56,80,20,10.36,NO,1706635994
357,hawkesbury,45.6001,-74.616,19.69,83,87,8.9,CA,1706635995
358,filadelfia,39.9523,-75.1638,39.97,67,100,3.44,US,1706635890
359,gazli,40.1333,63.45,32.72,64,99,8.61,UZ,1706635996
360,chabahar,25.2919,60.643,73.58,64,79,9.4,IR,1706635929
361,paragominas,-2.9667,-47.4833,88.34,58,84,5.32,BR,1706635997
362,nefta,33.8731,7.8777,62.85,48,7,3.15,TN,1706635998
